c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40
13,14,15,12,12,8,7,24,23,28,3,5,1,34,7,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,18,1,3,6,21,5,6,19,22,7,24,14,25,13,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,21,3,17,18,10,23,4,17,1,13,16,16,8,13,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,17,11,19,4,3,2,27,25,8,28,9,31,41,39,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,14,12,11,15,17,13,18,1,6,7,6,21,3,11,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,7,22,2,21,23,16,31,1,18,27,25,12,24,27,31,139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,27,10,26,21,24,27,18,12,25,20,7,23,24,25,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,3,16,12,10,22,29,16,8,21,2,35,14,49,13,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,13,14,20,21,19,21,18,9,22,29,45,10,10,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,19,25,20,8,9,1,2,32,7,35,24,29,32,20,11,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,8,3,17,1,6,9,20,5,23,16,20,4,24,28,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,19,8,19,13,17,27,3,18,22,13,25,23,1,31,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,15,13,7,17,12,14,25,4,19,26,27,1,35,2,56,1,1,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,11,15,19,22,20,15,5,2,4,17,1,13,10,28,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,8,5,1,12,6,20,2,40,28,43,27,23,30,28,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,22,13,23,21,15,5,6,30,32,16,1,3,12,23,22,17,32,43,1,64,55,1,118,135,114,14,30,85,95,132,189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,25,22,14,23,17,1,14,2,6,43,6,10,13,17,67,49,16,36,27,76,91,45,110,64,7,110,21,99,122,71,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,6,16,4,2,13,12,4,16,31,23,41,38,60,71,111,98,55,17,2,25,61,47,97,87,120,74,40,9,107,29,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,15,2,12,6,17,25,10,2,17,23,11,4,25,29,61,50,103,23,105,121,10,31,16,63,93,133,104,1,58,173,126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,22,23,14,18,2,17,4,33,2,9,14,16,33,15,73,18,5,40,33,56,66,84,50,10,98,67,26,113,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,8,2,2,22,21,38,30,34,33,28,47,24,39,54,103,37,88,90,36,73,108,5,63,55,115,103,56,17,11,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1,13,16,25,8,5,27,29,17,8,30,38,40,5,54,105,49,76,98,91,84,46,9,13,110,73,33,32,41,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24,1,23,15,19,30,18,15,22,26,11,25,26,20,1,43,14,96,23,113,91,28,56,81,103,41,87,169,203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,2,27,18,8,12,22,14,13,5,17,26,21,2,43,103,64,103,52,9,23,61,16,47,89,94,2,37,38,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,16,5,7,3,2,23,11,15,24,35,1,11,41,49,41,105,80,72,100,110,91,48,41,5,54,72,63,35,26,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,26,13,22,20,14,8,11,19,7,28,23,5,2,4,1,21,30,44,71,45,33,13,94,111,118,81,62,67,111,106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,8,23,10,18,5,2,4,15,14,1,32,43,50,30,88,7,99,45,76,30,99,118,83,62,68,51,16,27,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,7,17,10,15,28,30,5,30,2,28,22,36,4,20,1,39,97,97,30,48,4,74,56,19,83,65,102,76,29,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,7,4,27,27,21,4,28,23,24,47,41,50,57,66,2,45,29,79,7,72,17,45,134,88,52,125,105,67,121,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,19,4,25,29,14,25,10,20,13,10,18,40,15,14,1,21,89,75,52,41,63,19,82,109,11,5,67,104,98,35,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,12,31,12,7,7,34,17,35,21,25,35,42,54,55,105,77,99,103,59,77,53,14,21,116,75,40,7,43,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,14,18,2,9,28,4,8,20,11,3,23,44,52,64,92,89,96,83,63,66,81,34,114,49,78,25,49,13,1,22,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,11,6,1,3,10,35,10,35,36,43,38,50,1,66,1,1,81,24,5,39,75,111,14,113,67,30,76,107,110,25,115,74,76,NaN,NaN,NaN,NaN,NaN,NaN
3,12,3,11,21,16,28,39,43,32,48,27,51,54,52,1,78,135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,19,11,19,11,22,18,28,9,12,23,16,29,42,37,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,16,9,19,16,8,10,14,2,12,2,14,6,5,5,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
